Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,NOP,Zion Williamson,Duke,2,85,2694,2187,591,276,.604,.333,.683,31.7,25.7,7.0,3.2,10.6,.189,4.9,4.7
2,2,MEM,Ja Morant,Murray State,3,179,5758,3748,799,1278,.475,.326,.751,32.2,20.9,4.5,7.1,13.1,.109,1.7,5.4
3,3,NYK,RJ Barrett,Duke,3,178,5878,3000,979,493,.422,.365,.684,33.0,16.9,5.5,2.8,5.2,.042,-2.1,-0.2
4,4,LAL,De'Andre Hunter,Virginia,3,119,3657,1533,506,198,.430,.353,.780,30.7,12.9,4.3,1.7,2.2,.029,-3.5,-1.4
5,5,CLE,Darius Garland,Vanderbilt,3,160,5240,2622,396,932,.444,.375,.877,32.8,16.4,2.5,5.8,4.1,.038,-1.9,0.1
6,6,PHO,Jarrett Culver,Texas Tech,3,124,2253,862,355,160,.407,.290,.505,18.2,7.0,2.9,1.3,0.2,.003,-4.2,-1.3
7,7,CHI,Coby White,UNC,3,176,5017,2479,643,626,.415,.367,.848,28.5,14.1,3.7,3.6,5.6,.054,-2.3,-0.4
8,8,ATL,Jaxson Hayes,Texas,3,173,2892,1348,716,115,.648,.333,.717,16.7,7.8,4.1,0.7,10.8,.179,0.2,1.6
9,9,WAS,Rui Hachimura,Gonzaga,3,126,3634,1627,668,190,.471,.348,.795,28.8,12.9,5.3,1.5,4.5,.059,-3.0,-0.9
10,10,ATL,Cam Reddish,Duke,3,129,3235,1367,415,167,.385,.325,.842,25.1,10.6,3.2,1.3,0.8,.012,-3.2,-1.0
11,11,MIN,Cameron Johnson,UNC,3,175,4218,1789,626,240,.441,.390,.845,24.1,10.2,3.6,1.4,10.5,.119,1.1,3.3
12,12,CHO,P.J. Washington,Kentucky,3,168,4896,1991,991,376,.447,.377,.702,29.1,11.9,5.9,2.2,6.9,.068,-1.0,1.3
13,13,MIA,Tyler Herro,Kentucky,3,158,4741,2550,728,496,.434,.376,.842,30.0,16.1,4.6,3.1,5.5,.056,-1.1,1.1
14,14,BOS,Romeo Langford,Indiana,3,94,1381,342,180,45,.396,.305,.662,14.7,3.6,1.9,0.5,1.5,.052,-3.0,-0.4
15,15,DET,Sekou Doumbouya,,3,96,1639,542,267,66,.388,.256,.693,17.1,5.6,2.8,0.7,-0.4,-.012,-6.5,-1.8
